Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Primary_Cuisine,Price_Category,Rating_Category
Khichdi Kahani,"Indian, North Indian",3.3,200,Marathahalli,Indian,Budget,Average
Eatoz,"Indian, Tandoor, Mughlai, Chinese, Biryani, North Indian, Seafood, Healthy Food",3.7,400,Marathahalli,Indian,Mid-Range,Good
Cakes Wagon - Marthahalli,"Desserts, Bakery, Ice Cream, Beverages",3.8,150,Marathahalli,Desserts,Budget,Good
With Love from Home,"North Indian, Bengali",3.6,200,Marathahalli,North Indian,Budget,Good
Maria's Taste Circle,"Kerala, Seafood, South Indian",3.3,400,Marathahalli,Kerala,Mid-Range,Average
New Food Magic,North Indian,3.7,300,Marathahalli,North Indian,Mid-Range,Good
Chai Nashta,Fast Food,3.9,150,Marathahalli,Fast Food,Budget,Good
Momo Zone - The Momo Company,"Chinese, Fast Food",3.7,150,Marathahalli,Chinese,Budget,Good
Khane Ka Khazana Restaurant,"North Indian, Fast Food, Chinese, Combo, South Indian, Thalis, Biryani",3.3,200,Marathahalli,North Indian,Budget,Average
Punjabi Zaika,"Home Food, North Indian, Thalis, Beverages, Chinese, Healthy Food, Indian, Punja...",3.6,300,Marathahalli,Home Food,Mid-Range,Good
Chaat Lane,"Chaat, Snacks, Fast Food, Street Food, North Indian",3.7,200,Marathahalli,Chaat,Budget,Good
Self Love Cafeteria,"Indian, Tandoor, Snacks",3.9,350,Marathahalli,Indian,Mid-Range,Good
Donne Biryani Palace,"Biryani, Kebabs",3.0,150,Marathahalli,Biryani,Budget,Poor
Kolkata Sholoana,"Bengali, Biryani, Snacks, Sweets",3.9,200,Marathahalli,Bengali,Budget,Good
The Red Box,"Chinese, Beverages",3.9,300,Marathahalli,Chinese,Mid-Range,Good
GITA FOODS,"Thalis, North Indian, Biryani, Chinese",3.0,180,Marathahalli,Thalis,Budget,Poor
McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",3.9,600,Marathahalli,Burgers,Premium,Good
Handi Biryani,"Biryani, Hyderabadi, North Indian, Snacks, Beverages, Combo",3.8,200,Marathahalli,Biryani,Budget,Good
Momoz,"Chinese, Thai, Seafood, Asian, Malaysian",3.8,350,Marathahalli,Chinese,Mid-Range,Good
Shan's Kitchen - Madurai,"South Indian, Chettinad, Biryani",3.8,150,Marathahalli,South Indian,Budget,Good
Chandni Chowk 2 Bangalore,"Mughlai, Punjabi, North Indian, Thalis, Beverages, Pizzas, Chinese, Indian",3.7,300,Marathahalli,Mughlai,Mid-Range,Good
The Indian Dhaba,"Kebabs, Mughlai, North Indian, Biryani, Thalis, Beverages, Chinese, Punjabi, Piz...",3.2,300,Marathahalli,Kebabs,Mid-Range,Average
Damodar Seth - Bengali Cuisine,"Bengali, Chinese, North Indian, Tandoor, Thalis, Combo, Fast Food, Desserts",3.9,199,Marathahalli,Bengali,Budget,Good
Sai Aruna,"Indian, Chinese, Beverages",3.9,500,Marathahalli,Indian,Premium,Good
Kapoors Chaat Bhandaar,"North Indian, Chaat, Beverages, Desserts",3.8,300,Marathahalli,North Indian,Mid-Range,Good
House of Chaaps,"North Indian, Chinese, Punjabi, Tandoor, Combo, Fast Food",3.8,240,Marathahalli,North Indian,Mid-Range,Good
annapoorna andhra spices,"Indian, Biryani, Tandoor, Chinese",3.7,300,Marathahalli,Indian,Mid-Range,Good
Just Andhra,"Andhra, Desserts, Beverages",3.8,500,Marathahalli,Andhra,Premium,Good
Dhaba Social,"North Indian, Punjabi, Tandoor, Chinese, Thalis",3.9,300,Marathahalli,North Indian,Mid-Range,Good
Andhra Meal Company,"South Indian, Indian, Sweets",3.7,200,Marathahalli,South Indian,Budget,Good
Homelike,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",3.3,150,Marathahalli,Home Food,Budget,Average
Pizza Hut,Pizzas,3.4,350,Nagavara Hennur,Pizzas,Mid-Range,Average
Domino's Pizza,Pizzas,3.9,400,Nagavara Hennur,Pizzas,Mid-Range,Good
La'Meze,"Chinese, South Indian, North Indian, Continental, Desserts, Fast Food, Beverages...",3.7,400,Nagavara Hennur,Chinese,Mid-Range,Good
SHIVI SAMOSA POINT,"Chinese, North Indian",3.8,130,Nagavara Hennur,Chinese,Budget,Good
Moriz Restaurant,"North Indian, Chinese, Biryani, Seafood",3.2,400,Nagavara Hennur,North Indian,Mid-Range,Average
The Hebbal Cafe - Courtyard by Marriott,"Indian, Continental",3.1,1000,Nagavara Hennur,Indian,Luxury,Average
Garlic & Cloves,"Indian, Tandoor, Biryani, South Indian, North Indian, Mughlai",3.9,500,Nagavara Hennur,Indian,Premium,Good
BANGARPET CHATS,"Street Food, Snacks",3.5,80,Nagavara Hennur,Street Food,Budget,Average
Pot Biryani,"North Indian, Biryani, Andhra, Hyderabadi",3.9,300,Nagavara Hennur,North Indian,Mid-Range,Good
De Grand Restaurant,"Indian, Chinese, Tandoor, Arabian",3.8,300,Nagavara Hennur,Indian,Mid-Range,Good
Good Food,"Bengali, Biryani, Continental, Tandoor, North Indian, Chinese",3.8,300,Nagavara Hennur,Bengali,Mid-Range,Good
THE BLUE BAWARCHI RESTAURANT(ODIA & BENGALI FOOD),"Chinese, North Indian, Bengali, Oriya, Biryani",3.3,200,Nagavara Hennur,Chinese,Budget,Average
Shivam Dhaba,"Chinese, North Indian, Combo, Thalis, Sweets",3.6,300,Nagavara Hennur,Chinese,Mid-Range,Good
Kolkata Famous Kati Roll,Street Food,3.4,150,Nagavara Hennur,Street Food,Budget,Average
Udupi Thindies,South Indian,3.8,100,Nagavara Hennur,South Indian,Budget,Good
North Indian Bhukkads -NIB,"North Indian, Indian, Punjabi, Street Food, Desserts, Chinese, Snacks, Chaat, Bi...",3.9,400,Nagavara Hennur,North Indian,Mid-Range,Good
SHAADI KI BIRYANI,Indian,3.8,250,Nagavara Hennur,Indian,Mid-Range,Good
Cupcake Noggins - Vintage Patisserie,"Desserts, Bakery, Beverages, Snacks",3.8,200,Nagavara Hennur,Desserts,Budget,Good
N.Razakhiya Hotel,"North Indian, Chinese, Tandoor, Sweets, Beverages",3.9,300,Nagavara Hennur,North Indian,Mid-Range,Good
KFC,"American, Snacks, Biryani",3.5,400,Nagavara Hennur,American,Mid-Range,Average
THE TASTE OF NORTH,North Indian,3.3,300,Nagavara Hennur,North Indian,Mid-Range,Average
Biryani By Kilo,"Biryani, Hyderabadi, Lucknowi, Kebabs, Mughlai, North Indian, Desserts, Beverage...",3.6,500,Nagavara Hennur,Biryani,Premium,Good
CAKE JUNCTION,"Bakery, Desserts",3.4,300,Nagavara Hennur,Bakery,Mid-Range,Average
DVG Benne Dosa,South Indian,3.1,100,Nagavara Hennur,South Indian,Budget,Average
Punjabi Dhaba,North Indian,3.0,250,Nagavara Hennur,North Indian,Mid-Range,Poor
Sri Ganesh Juice Center,Fast Food,3.8,100,Nagavara Hennur,Fast Food,Budget,Good
P.S.99 VARIETY DOSA AND PAV BAJJI,South Indian,3.7,200,Nagavara Hennur,South Indian,Budget,Good
Al Bek,"Arabian, Tandoor, Biryani",3.6,600,Nagavara Hennur,Arabian,Premium,Good
PARATHA CLUB,"North Indian, Chinese",3.6,300,Nagavara Hennur,North Indian,Mid-Range,Good
Biryani Paradise,Biryani,3.9,250,Nagavara Hennur,Biryani,Mid-Range,Good
Aligarh House,"Biryani, Mughlai, Kebabs, North Indian, Desserts, Beverages, Combo",3.8,270,Nagavara Hennur,Biryani,Mid-Range,Good
Donne Biriyani Angadi Mane,"Biryani, South Indian",3.4,300,Nagavara Hennur,Biryani,Mid-Range,Average
Madras Meal Company,South Indian,3.9,250,Rajarajeshwari Nagar,South Indian,Mid-Range,Good
Blackbox Pizza,"Pizzas, Italian, Pastas, Desserts",3.5,300,Rajarajeshwari Nagar,Pizzas,Mid-Range,Average
Chikpet Donne Biryani House,South Indian,3.9,250,Rajarajeshwari Nagar,South Indian,Mid-Range,Good
Bengali Delicious,"Bengali, North Indian, Biryani, Chinese",3.6,200,Rajarajeshwari Nagar,Bengali,Budget,Good
SRI KRISHNA PRASADAM PURE VEG MULTICUISINE RESTAUR,"Indian, Chinese, Tandoor, South Indian",3.5,350,Rajarajeshwari Nagar,Indian,Mid-Range,Average
Istta Cafe,"Desserts, Beverages, Snacks",3.6,300,Rajarajeshwari Nagar,Desserts,Mid-Range,Good
Dilli Da Dhaba,"Chinese, North Indian, Desserts, Fast Food, Punjabi, Hyderabadi",3.9,250,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",3.4,200,Rajarajeshwari Nagar,North Indian,Budget,Average
KFC,"American, Snacks, Biryani",3.6,400,Rajarajeshwari Nagar,American,Mid-Range,Good
Tim Tim Kitchen,"North Indian, Chinese, Punjabi",3.5,400,Rajarajeshwari Nagar,North Indian,Mid-Range,Average
Dragon Chilly,"Chinese, North Indian, Punjabi, Hyderabadi",3.8,300,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",3.3,300,Rajarajeshwari Nagar,Pastas,Mid-Range,Average
Dairy Day Ice Creams,"Ice Cream, Desserts",3.6,200,Rajarajeshwari Nagar,Ice Cream,Budget,Good
Delicious express,"Andhra, North Indian, Mughlai",3.5,300,Rajarajeshwari Nagar,Andhra,Mid-Range,Average
Mathsya Sagara,South Indian,3.9,700,Rajarajeshwari Nagar,South Indian,Premium,Good
CHEF KITCHEN FOOD,"Indian, Chinese, Biryani, Salads, Continental, Desserts",3.9,200,Rajarajeshwari Nagar,Indian,Budget,Good
GLOBAL RESTAURANT,North Indian,3.7,250,Rajarajeshwari Nagar,North Indian,Mid-Range,Good
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",3.7,250,Rajarajeshwari Nagar,Healthy Food,Mid-Range,Good
Absolute Shawarma,Indian,3.9,300,Rajarajeshwari Nagar,Indian,Mid-Range,Good
Domino's Pizza,Pizzas,3.9,400,Rajarajeshwari Nagar,Pizzas,Mid-Range,Good
Official Hideout,"Chinese, North Indian, Desserts, Beverages",3.7,263,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Karnataka Hindu Military Hotel,South Indian,3.9,350,Rajarajeshwari Nagar,South Indian,Mid-Range,Good
Banashankari Special Donne Biriyani,Biryani,3.8,350,Rajarajeshwari Nagar,Biryani,Mid-Range,Good
Mannas Chats Jam,"Snacks, Indian",3.7,200,Rajarajeshwari Nagar,Snacks,Budget,Good
Teju's Fryd,"Fast Food, Snacks, Beverages",3.8,300,Rajarajeshwari Nagar,Fast Food,Mid-Range,Good
Biryani Trip,Biryani,3.9,350,Rajarajeshwari Nagar,Biryani,Mid-Range,Good
Bamboo Shoots,"South Indian, Chinese, North Indian",3.8,500,Rajarajeshwari Nagar,South Indian,Premium,Good
Coffee Time,South Indian,3.9,300,Rajarajeshwari Nagar,South Indian,Mid-Range,Good
South Tadka Grand,South Indian,3.9,300,Rajarajeshwari Nagar,South Indian,Mid-Range,Good
Sweet Truth - Cake and Desserts,"Ice Cream, Bakery, Desserts, Beverages",3.9,450,Rajarajeshwari Nagar,Ice Cream,Premium,Good
RR CHATS,"Beverages, Ice Cream, Salads",3.9,200,Rajarajeshwari Nagar,Beverages,Budget,Good
Grand Desi Paratha,"North Eastern, South Indian, Tandoor, Salads, Chinese, Pizzas",3.8,199,Rajarajeshwari Nagar,North Eastern,Budget,Good
Mad Over Donuts,Desserts,3.8,200,Rajarajeshwari Nagar,Desserts,Budget,Good
BANGARPET CHATS AND FAST FOOD,Chaat,3.5,100,Rajarajeshwari Nagar,Chaat,Budget,Average
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food",3.7,250,Rajarajeshwari Nagar,North Indian,Mid-Range,Good
Sai Baba Restaurant,North Indian,3.3,450,Rajarajeshwari Nagar,North Indian,Premium,Average
The Dessert Corner,"Bakery, Desserts",3.8,200,Rajarajeshwari Nagar,Bakery,Budget,Good
Wendy's,"American, Burgers, Fast Food, Beverages, Snacks",3.8,200,Rajarajeshwari Nagar,American,Budget,Good
Sai Bucket Biryani & Kababs,Indian,3.5,240,Rajarajeshwari Nagar,Indian,Mid-Range,Average
Twillight Tandoor Resto,"Andhra, Arabian, Beverages, Biryani, Chinese, Mughlai, North Indian, South India...",3.7,500,Rajarajeshwari Nagar,Andhra,Premium,Good
Grill House,North Indian,3.5,200,Rajarajeshwari Nagar,North Indian,Budget,Average
Hyderabad Biryani Hotel,"Biryani, Andhra, North Indian, Chinese, Hyderabadi",3.8,500,Rajarajeshwari Nagar,Biryani,Premium,Good
SRI KRISHNA GRAND,"North Indian, South Indian, Chinese, Desserts, Beverages",3.8,200,Rajarajeshwari Nagar,North Indian,Budget,Good
New Chickpete Donne Biriyani.,"Indian, Biryani",3.7,300,Rajarajeshwari Nagar,Indian,Mid-Range,Good
Bowl Soul,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese...",3.7,250,Rajarajeshwari Nagar,Indian,Mid-Range,Good
Kaati Zone Rolls & Wraps,Fast Food,3.9,150,Rajarajeshwari Nagar,Fast Food,Budget,Good
1972 SBL WOOD FIRED PIZZA,Pizzas,3.3,250,Rajarajeshwari Nagar,Pizzas,Mid-Range,Average
DAVANAGERE BENNE DOSA,South Indian,3.3,150,Rajarajeshwari Nagar,South Indian,Budget,Average
Oven Story Pizza,"Pizzas, Italian",3.8,400,Rajarajeshwari Nagar,Pizzas,Mid-Range,Good
Eat@99!,"Chinese, North Indian, Hyderabadi",3.1,200,Rajarajeshwari Nagar,Chinese,Budget,Average
Full Circle,Indian,3.7,800,Rajarajeshwari Nagar,Indian,Luxury,Good
Chinese Wok (Wok Express),"Chinese, Asian, Tibetan, Desserts",3.9,250,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Five star chicken (RJ Enterprises),Indian,3.9,300,Rajarajeshwari Nagar,Indian,Mid-Range,Good
SRI GANESH FRUIT JUICE AND CHATS,"Beverages, Snacks",3.8,100,Rajarajeshwari Nagar,Beverages,Budget,Good
KABAB MEHAK,"Snacks, Beverages",3.8,200,Rajarajeshwari Nagar,Snacks,Budget,Good
Pizza Hut,Pizzas,3.6,350,Rajarajeshwari Nagar,Pizzas,Mid-Range,Good
Hotel Food land,Indian,3.3,250,Rajarajeshwari Nagar,Indian,Mid-Range,Average
Atmosphere restaurant,"North Indian, Barbecue, Grill",3.4,400,Rajarajeshwari Nagar,North Indian,Mid-Range,Average
Rolls & Bowls Company,"North Indian, Chinese, Desserts",3.6,250,Rajarajeshwari Nagar,North Indian,Mid-Range,Good
Atithi,"North Indian, Biryani, Chinese, Snacks, Desserts, Beverages",3.7,300,Rajarajeshwari Nagar,North Indian,Mid-Range,Good
Davanagere Benne Dosa Kendra,South Indian,3.5,200,Rajarajeshwari Nagar,South Indian,Budget,Average
Hotel Prashant Donne Biryani,"Biryani, Indian",3.3,500,Rajarajeshwari Nagar,Biryani,Premium,Average
HOTEL SRI CHOWDESHWARI,"Indian, Chinese",3.5,350,Rajarajeshwari Nagar,Indian,Mid-Range,Average
A Z Ambur Dum Biryani,"Biryani, Seafood, South Indian",3.7,300,Rajarajeshwari Nagar,Biryani,Mid-Range,Good
Winners Pizza (Fresh Dough),"Pizzas, Italian, Desserts, Beverages",3.2,300,Rajarajeshwari Nagar,Pizzas,Mid-Range,Average
Maveli Restaurant,"South Indian, Seafood",3.8,500,Rajarajeshwari Nagar,South Indian,Premium,Good
The Combo Delight,"North Indian, Chinese",3.9,100,Rajarajeshwari Nagar,North Indian,Budget,Good
HYDERABAD BIRYAANI HOUSE,"North Indian, Chinese, Hyderabadi, Biryani, Andhra",3.7,400,Rajarajeshwari Nagar,North Indian,Mid-Range,Good
SHRI BASAVESHWARA KHANAVALI,South Indian,3.9,150,Rajarajeshwari Nagar,South Indian,Budget,Good
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",3.8,200,Rajarajeshwari Nagar,North Indian,Budget,Good
RASAPAAKA,"Chinese, North Indian, South Indian",3.6,250,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Northern Masala,"Chinese, Indian, Snacks",3.6,300,Rajarajeshwari Nagar,Chinese,Mid-Range,Good
Dindigul Thalappakatti,"Biryani, Barbecue, South Indian, Chinese, North Indian",3.7,500,Rajarajeshwari Nagar,Biryani,Premium,Good
Ambur Dum Biriyani,Biryani,3.5,200,Rajarajeshwari Nagar,Biryani,Budget,Average
35 BEST BIKANERI TASTE,Indian,3.4,250,Rajarajeshwari Nagar,Indian,Mid-Range,Average
Chaat King,Fast Food,3.8,150,Rajarajeshwari Nagar,Fast Food,Budget,Good
GFC Biryani ,"South Indian, Biryani",3.3,200,RT Nagar,South Indian,Budget,Average
Shetty's Lunch Home,"North Indian, Mangalorean",3.3,296,RT Nagar,North Indian,Mid-Range,Average
Calcutta Victoria Chat House,North Indian,3.7,200,RT Nagar,North Indian,Budget,Good
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",3.0,300,RT Nagar,Pastas,Mid-Range,Poor
Pizza Hut,Pizzas,3.9,350,RT Nagar,Pizzas,Mid-Range,Good
Madras Meal Company,"South Indian, Chettinad",3.9,250,RT Nagar,South Indian,Mid-Range,Good
New Peacock Restaurant,"Bengali, Biryani, Chinese, North Indian",3.4,327,RT Nagar,Bengali,Mid-Range,Average
Golicious Mumbai Vada Pav,Snacks,3.8,200,RT Nagar,Snacks,Budget,Good
New Shanthi Sagar,"North Indian, Chinese, South Indian",3.9,300,RT Nagar,North Indian,Mid-Range,Good
NAWAB SAHAAB,"Tandoor, Biryani, Indian, Mughlai",3.5,500,RT Nagar,Tandoor,Premium,Average
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",3.5,350,RT Nagar,Healthy Food,Mid-Range,Average
Dastarkhwan-E-Khas,"Biryani, Beverages, Kebabs, Use Code PUNE100 to avail",3.9,200,RT Nagar,Biryani,Budget,Good
New Punjabi Restaurant,North Indian,3.2,250,RT Nagar,North Indian,Mid-Range,Average
Great Indian Khichdi by EatFit,"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, Sou...",3.9,200,RT Nagar,Home Food,Budget,Good
The Empire Juice Shop,"Ice Cream, Juices",3.9,200,RT Nagar,Ice Cream,Budget,Good
Raidan,"Arabian, Chinese, Beverages, Mughlai",3.9,400,RT Nagar,Arabian,Mid-Range,Good
KFC,"American, Snacks, Biryani",3.7,400,RT Nagar,American,Mid-Range,Good
Sathyas Kitchen,"Andhra, North Indian, Biryani",3.8,300,RT Nagar,Andhra,Mid-Range,Good
KOLKATA VICTORIA CHAT HOUSE,"Snacks, Indian",3.9,169,RT Nagar,Snacks,Budget,Good
Chinese BAE,"Chinese, Thai, Seafood, Asian, Combo, Healthy Food, Beverages",3.9,400,RT Nagar,Chinese,Mid-Range,Good
Lassi Shop,"Desserts, Ice Cream",3.7,100,RT Nagar,Desserts,Budget,Good
Kudla - Coraltree,"Indian, Mangalorean, Goan, South Indian, North Indian, Chinese, Desserts, Bevera...",3.9,1000,RT Nagar,Indian,Luxury,Good
Lajawaab,"North Indian, Chinese",3.9,350,RT Nagar,North Indian,Mid-Range,Good
Kolkata Famous Kati Roll,"Street Food, Snacks",3.8,129,RT Nagar,Street Food,Budget,Good
Chandni Chowk,"Indian, North Indian, Street Food, Snacks, Sweets",3.1,150,RT Nagar,Indian,Budget,Average
SULTAN PALACE DARBAR RESTAURANT,"Indian, Chinese, Arabian",3.3,300,RT Nagar,Indian,Mid-Range,Average
SANIDHYA VEG,"South Indian, Chinese, Chaat",3.7,1000,Shantinagar,South Indian,Luxury,Good
Rajasthani Dhaba,North Indian,3.7,200,Shantinagar,North Indian,Budget,Good
Biriyani Paradise (Dakshin),"Andhra, South Indian, Biryani",3.7,250,Shantinagar,Andhra,Mid-Range,Good
Marwadi Chaat & Tiffin Services Shanti nagar,North Indian,3.7,300,Shantinagar,North Indian,Mid-Range,Good
LunchBox - Meals and Thalis,"North Indian, Chinese, Desserts, Biryani",3.9,200,Shantinagar,North Indian,Budget,Good
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",3.8,250,Shantinagar,Biryani,Mid-Range,Good
NAMMA KUDLA RESTAURANT,Indian,3.9,300,Shantinagar,Indian,Mid-Range,Good
Donne Biriyani House ,Biryani,3.7,200,Shantinagar,Biryani,Budget,Good
Swiss Cream - Ice Creams and More,"Desserts, Ice Cream, Beverages",3.8,250,Shantinagar,Desserts,Mid-Range,Good
Udta Punjab Cafe,North Indian,3.9,150,Shantinagar,North Indian,Budget,Good
Hatti Donne Biryani,"Biryani, South Indian, Chinese",3.9,199,Shantinagar,Biryani,Budget,Good
Suvai Factory,"Beverages, Chettinad, South Indian, North Indian, Biryani, Tandoor, Juices",3.5,230,Whitefield,Beverages,Mid-Range,Average
FreshMenu,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",3.6,250,Whitefield,Chinese,Mid-Range,Good
Taco Bell,Mexican,3.9,300,Whitefield,Mexican,Mid-Range,Good
Up Bhavan Sweets,"Sweets, Snacks",3.5,300,Whitefield,Sweets,Mid-Range,Average
AB s-Absolute Barbecues,"Barbecue, Biryani, Chinese, Grill, Mughlai, North Indian, Seafood, Kebabs, Pan-A...",3.3,400,Whitefield,Barbecue,Mid-Range,Average
Keventers Ice Cream,"Ice Cream, Desserts",3.3,200,Whitefield,Ice Cream,Budget,Average
Broasted Chicken Hut,"Continental, Snacks",3.4,200,Whitefield,Continental,Budget,Average
Big Bowl Company,"North Indian, Chinese, Biryani, Fast Food",3.3,250,Whitefield,North Indian,Mid-Range,Average
The Sandwich Station,"Continental, Beverages, Juices, Fast Food",3.7,150,Whitefield,Continental,Budget,Good
Paradise Biryani,"Biryani, Kebabs, North Indian, Hyderabadi",3.7,400,Whitefield,Biryani,Mid-Range,Good
Purani Dilli,"Indian, Tandoor, Biryani",3.9,300,Whitefield,Indian,Mid-Range,Good
A2B Veg,"South Indian, North Indian, Sweets, Chinese",3.8,300,Whitefield,South Indian,Mid-Range,Good
Pastas By Pizza Hut,"Pastas, Pizzas, Italian, Fast Food, Beverages",3.1,300,Whitefield,Pastas,Mid-Range,Average
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",3.8,200,Whitefield,North Indian,Budget,Good
BAY LEAVES,"Indian, Seafood",3.9,300,Whitefield,Indian,Mid-Range,Good
Punjabi Tasty Khana,"North Indian, Chinese",3.8,400,Whitefield,North Indian,Mid-Range,Good
New Punjabi Tasty Khana,"North Indian, Chinese, Beverages, Indian",3.7,300,Whitefield,North Indian,Mid-Range,Good
Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.9,600,Whitefield,North Indian,Premium,Good
Andhra Kafe,"Mughlai, North Indian, South Indian, Beverages, Ice Cream",3.5,550,Whitefield,Mughlai,Premium,Average
Kuttanadu Homely Food,Indian,3.8,200,Whitefield,Indian,Budget,Good
Green Cravings,"Healthy Food, Continental, Keto, Indian, Salads",3.6,350,Whitefield,Healthy Food,Mid-Range,Good
Madurai Idly Shop,South Indian,3.9,150,Whitefield,South Indian,Budget,Good
Moriz Restaurant,"North Indian, Chinese, Biryani, Seafood",3.7,500,Whitefield,North Indian,Premium,Good
Hotel Alpha,"North Indian, Chinese, Biryani",3.9,600,Whitefield,North Indian,Premium,Good
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.8,160,Whitefield,North Indian,Budget,Good
INDIKHANA.COM,"North Indian, South Indian, Chinese, Indian",3.7,400,Whitefield,North Indian,Mid-Range,Good
Sanatani,"Bengali, North Indian",3.9,250,Whitefield,Bengali,Mid-Range,Good
Chandini Chowk,"Kebabs, Indian, Tandoor",3.7,300,Whitefield,Kebabs,Mid-Range,Good
Mr. Shawarma,"Arabian, Snacks, Beverages, Combo",3.8,200,Whitefield,Arabian,Budget,Good
Chinese Wok (Wok Express),"Chinese, Asian, Tibetan, Desserts",3.6,250,Whitefield,Chinese,Mid-Range,Good
Imperio Juice and Cafe,"Cafe, Juices",3.9,250,Whitefield,Cafe,Mid-Range,Good
Kerala Tiffin,"South Indian, Desserts, Kerala, Seafood",3.7,400,Whitefield,South Indian,Mid-Range,Good
Easy Bites by Hotel Empire,"Snacks, Fast Food, Beverages",3.6,200,Whitefield,Snacks,Budget,Good
Kheer Kadamb,"Sweets, Snacks",3.9,300,Whitefield,Sweets,Mid-Range,Good
153 Biere Street,"Asian, Chinese, Continental",3.9,1000,Whitefield,Asian,Luxury,Good
Sundae Everyday Ice Creams,"Desserts, Ice Cream",3.9,150,Whitefield,Desserts,Budget,Good
Bengali Dhekur,Bengali,3.6,300,Whitefield,Bengali,Mid-Range,Good
Andhra Biryanis,"Andhra, Biryani, Hyderabadi, Chinese, Tandoor",3.8,480,Whitefield,Andhra,Premium,Good
Roti Curry Junction,"Indian, North Indian, Desserts",3.6,250,Whitefield,Indian,Mid-Range,Good
Momo Zone - The Momo Company,"Chinese, Fast Food",3.7,150,Whitefield,Chinese,Budget,Good
Sanctum Kitchen,Indian,3.9,200,Whitefield,Indian,Budget,Good
HOPSHAUS,"American, Asian, European, Indian, Desserts, Tandoor, Italian, Pan-Asian, Pizzas",3.8,1000,Whitefield,American,Luxury,Good
Momo Monk,"Pan-Asian, Chinese",3.8,350,Whitefield,Pan-Asian,Mid-Range,Good
Ludos Pizza,"Italian, Fast Food, Pizzas",3.9,300,Whitefield,Italian,Mid-Range,Good
Chalo chai,"Beverages, Street Food, Snacks, Indian",3.0,150,Whitefield,Beverages,Budget,Poor
Andhra Gunpowder,"Andhra, Biryani, South Indian",3.9,350,Whitefield,Andhra,Mid-Range,Good
Desi Khana,"North Indian, Thalis, Chinese",3.8,200,Whitefield,North Indian,Budget,Good
Chinese Chaska,"Biryani, Chinese, North Indian, Combo, Desserts, Beverages, Tandoor",3.8,300,Whitefield,Biryani,Mid-Range,Good
Chai Central -ITPL,"Beverages, North Indian, Desserts, Bakery, Snacks",3.8,100,Whitefield,Beverages,Budget,Good
Omleterian,"Continental, American, Fast Food",3.9,300,Whitefield,Continental,Mid-Range,Good
Wow! China,"Tibetan, Chinese, Asian, Snacks, Continental, Desserts, Beverages",3.8,300,Whitefield,Tibetan,Mid-Range,Good
Chinese Monk (NO MSG),"Chinese, Thai, Asian",3.9,300,Whitefield,Chinese,Mid-Range,Good
UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.9,300,Whitefield,North Indian,Mid-Range,Good
Biryani Mafias,"Biryani, Chinese",3.5,300,Whitefield,Biryani,Mid-Range,Average
Snack House,"Fast Food, Street Food",3.9,300,Whitefield,Fast Food,Mid-Range,Good
Jubli Biryani,"Biryani, Indian, Beverages",3.8,258,Whitefield,Biryani,Mid-Range,Good
Nadan Pothichoru,"South Indian, Kerala, Biryani",3.4,200,Whitefield,South Indian,Budget,Average
Pizza Hut,Pizzas,3.8,300,Whitefield,Pizzas,Mid-Range,Good
Mega Biryani,"Biryani, Hyderabadi, Indian",3.7,400,Whitefield,Biryani,Mid-Range,Good
Kidilum Grand,Chinese,3.9,500,Whitefield,Chinese,Premium,Good
Indian Burrito Company,"Tex-Mex, Salads, Healthy Food, Keto, Mexican, Fast Food, Pizzas",3.2,300,Whitefield,Tex-Mex,Mid-Range,Average
Sabzi Aur Roti,"Indian, Thalis",3.9,200,Whitefield,Indian,Budget,Good
